Site Name,Sample Collection Date,Concentration,7dra_centered
Brightwater,06/19/2023,853095187,
Brightwater,06/20/2023,853095187,
Brightwater,06/21/2023,853095187,
Brightwater,06/22/2023,853095187,853095187.0
Brightwater,06/23/2023,853095187,853095187.0
Brightwater,06/24/2023,853095187,853095187.0
Brightwater,06/26/2023,853095187,853095187.0
Brightwater,06/27/2023,853095187,853095187.0
Brightwater,06/28/2023,853095187,853095187.0
Brightwater,06/29/2023,853095187,853095187.0
Brightwater,06/30/2023,853095187,853095187.0
Brightwater,07/02/2023,853095187,853095187.0
Brightwater,07/03/2023,853095187,853095187.0
Brightwater,07/04/2023,853095187,853095187.0
Brightwater,07/05/2023,853095187,853095187.0
Brightwater,07/06/2023,853095187,853095187.0
Brightwater,07/07/2023,853095187,853095187.0
Brightwater,07/09/2023,853095187,853095187.0
Brightwater,07/10/2023,853095187,853095187.0
Brightwater,07/11/2023,853095187,853095187.0
Brightwater,07/12/2023,853095187,853095187.0
Brightwater,07/13/2023,853095187,853095187.0
Brightwater,07/15/2023,853095187,853095187.0
Brightwater,07/16/2023,853095187,853095187.0
Brightwater,07/17/2023,853095187,853095187.0
Brightwater,07/18/2023,853095187,853095187.0
Brightwater,07/19/2023,853095187,853095187.0
Brightwater,07/21/2023,853095187,853095187.0
Brightwater,07/22/2023,853095187,853095187.0
Brightwater,07/23/2023,853095187,853095187.0
Brightwater,07/24/2023,853095187,853095187.0
Brightwater,07/25/2023,853095187,853095187.0
Brightwater,07/26/2023,853095187,853095187.0
Brightwater,07/28/2023,853095187,853095187.0
Brightwater,07/29/2023,853095187,853095187.0
Brightwater,07/30/2023,853095187,853095187.0
Brightwater,07/31/2023,853095187,853095187.0
Brightwater,08/01/2023,853095187,853095187.0
Brightwater,08/03/2023,853095187,853095187.0
Brightwater,08/04/2023,853095187,853095187.0
Brightwater,08/05/2023,853095187,853095187.0
Brightwater,08/06/2023,853095187,853095187.0
Brightwater,08/07/2023,853095187,853095187.0
Brightwater,08/08/2023,853095187,853095187.0
Brightwater,08/10/2023,853095187,853095187.0
Brightwater,08/11/2023,853095187,853095187.0
Brightwater,08/12/2023,853095187,853095187.0
Brightwater,08/13/2023,853095187,853095187.0
Brightwater,08/14/2023,853095187,853095187.0
Brightwater,08/16/2023,853095187,853095187.0
Brightwater,08/17/2023,853095187,853095187.0
Brightwater,08/18/2023,853095187,851875145.5714285
Brightwater,08/19/2023,853095187,849435062.5714285
Brightwater,08/20/2023,853095187,842409953.2857143
Brightwater,08/21/2023,844554897,830799817.7142857
Brightwater,08/22/2023,836014606,814604655.7142857
Brightwater,08/23/2023,803919422,793824467.4285715
Brightwater,08/24/2023,771824238,768459252.8571428
Brightwater,08/25/2023,739729053,771899281.0
Brightwater,08/26/2023,707633869,804144552.0
Brightwater,08/27/2023,675538685,863881393.1428572
Brightwater,08/28/2023,868635094,951109804.5714285
Brightwater,08/29/2023,1061731503,1065829786.4285715
Brightwater,08/30/2023,1222077310,1208041338.4285715
Brightwater,08/31/2023,1382423118,1377744460.7142856
Brightwater,09/01/2023,1542768926,1511818739.4285715
Brightwater,09/02/2023,1703114733,1610264174.7142856
Brightwater,09/03/2023,1863460541,1665100279.7142856
Brightwater,09/04/2023,1807155045,1676327054.142857
Brightwater,09/05/2023,1750849550,1643944498.142857
Brightwater,09/06/2023,1605930045,1567952611.7142856
Brightwater,09/07/2023,1461010539,1448351394.857143
Brightwater,09/08/2023,1316091034,1311338230.5714285
Brightwater,09/09/2023,1171171528,1156913118.857143
Brightwater,09/10/2023,1026252023,1061822229.0
Brightwater,09/11/2023,848062895,1026065561.2857143
Brightwater,09/12/2023,669873768,1049643115.4285715
Brightwater,09/13/2023,940293816,1132554891.7142856
Brightwater,09/14/2023,1210713865,1274800889.857143
