Site Name,Sample Collection Date,Concentration,7dra_centered
West,08/26/2023,419060090,
West,08/27/2023,426579450,
West,08/28/2023,434098810,
West,08/29/2023,462994715,472156091.85714287
West,08/30/2023,491890621,488287242.0
West,08/31/2023,520786526,497461076.0
West,09/01/2023,549682431,499677593.85714287
West,09/04/2023,531978141,491883003.4285714
West,09/05/2023,490796288,474077304.71428573
West,09/06/2023,449614435,446260497.71428573
West,09/07/2023,408432582,421254300.85714287
West,09/08/2023,367250730,412746650.28571427
West,09/09/2023,326068877,417043776.85714287
West,09/10/2023,374639053,434145680.5714286
West,09/11/2023,472424587,464052361.4285714
West,09/12/2023,520876174,513685474.71428573
West,09/13/2023,569327761,563992279.8571428
West,09/14/2023,617779348,602151058.2857143
West,09/16/2023,714682523,622088728.5714285
West,09/17/2023,678216513,632978870.4285715
West,09/18/2023,641750502,634821484.0
West,09/20/2023,611988279,627616569.1428572
West,09/21/2023,597107167,621440891.1428572
West,09/22/2023,582226056,635347190.8571428
West,09/23/2023,567344944,654831221.8571428
West,09/24/2023,671452777,679303601.4285715
West,09/25/2023,775560611,706270155.2857143
West,09/26/2023,778138719,735730883.2857143
West,09/28/2023,783294936,747698934.0
West,09/29/2023,785873044,725175886.7142857
West,09/30/2023,788451152,694650528.1428572
West,10/01/2023,651121299,670627104.8571428
West,10/02/2023,513791446,652737315.5714285
West,10/03/2023,561883101,641349461.5714285
West,10/04/2023,609974756,636463542.8571428
West,10/05/2023,658066411,654765848.5714285
West,10/06/2023,706158066,696256378.7142857
West,10/07/2023,754249721,795972154.2857143
West,10/08/2023,779237439,953913175.1428572
West,10/09/2023,804225157,1170079441.2857144
West,10/10/2023,1259893530,1444470952.857143
West,10/11/2023,1715561902,1777087709.7142856
West,10/12/2023,2171230274,2118969501.857143
West,10/13/2023,2626898647,2470116329.285714
West,10/14/2023,3082567019,2698308542.0
West,10/15/2023,3172409984,2797586443.0
West,10/16/2023,3262252949,2767950032.285714
West,10/17/2023,2857239019,2609399309.571429
West,10/18/2023,2410507209,2321934275.142857
West,10/19/2023,1963775399,2015818047.7142856
West,10/20/2023,1517043588,1691050627.4285715
West,10/21/2023,1070311778,1416035168.5714285
West,10/22/2023,1029596392,1202691065.7142856
West,10/23/2023,988881007,1051018318.7142857
West,10/24/2023,932130807,961016927.8571428
West,10/25/2023,917098489,932686892.8571428
West,10/26/2023,902066170,908878494.5714285
West,10/27/2023,887033852,889591732.8571428
West,10/28/2023,872001533,887415601.8571428
West,10/29/2023,862937604,896390404.0
West,10/30/2023,853873675,916516139.5714285
West,10/31/2023,916897890,947792808.2857143
West,11/01/2023,979922104,990220410.4285715
West,11/02/2023,1042946319,1033476405.2857143
West,11/03/2023,1105970533,1075078833.7142856
West,11/04/2023,1168994748,1140203928.2857144
West,11/10/2023,1165729568,1228851689.142857
West,11/11/2023,1145090674,1293786410.0
West,11/12/2023,1372773552,1344814478.142857
West,11/13/2023,1600456430,1381935893.4285715
West,11/16/2023,1497489365,1385904749.4285715
West,11/17/2023,1463167010,1359203005.4285715
West,11/18/2023,1428844655,1304389836.142857
West,11/19/2023,1193511560,1221465241.7142856
West,11/20/2023,958178466,1157664928.142857
West,11/21/2023,989081367,1107597208.7142856
West,11/22/2023,1019984269,1056860238.4285715
West,11/23/2023,1050887170,1034169837.4285715
West,11/25/2023,1112692974,1210015414.7142856
West,11/26/2023,1073685863,1546363256.5714285
West,11/27/2023,1034678753,2043213363.0
West,11/28/2023,2189097507,2700565734.0
West,11/29/2023,3343516260,3514005669.285714
West,11/30/2023,4497935014,4332062882.142858
West,12/01/2023,5652353767,5154737372.428572
West,12/02/2023,6806772521,5684660431.428572
West,12/03/2023,6800086353,5921832059.428572
West,12/04/2023,6793400185,5866252256.142858
West,12/05/2023,5898558920,5517921021.714286
West,12/06/2023,5003717656,4876838356.0
West,12/07/2023,4108876391,4233008312.857143
West,12/08/2023,3214035126,3586430892.428571
West,12/09/2023,2319193861,3034385779.857143
West,12/10/2023,2293276051,2576872975.0
West,12/11/2023,2267358242,2213892478.142857
West,12/12/2023,2034243132,1945444289.142857
West,12/13/2023,1801128022,1771528408.142857
West,12/14/2023,1568012913,1632169586.4285715
West,12/15/2023,1334897803,1527367823.857143
West,12/16/2023,1101782694,1468498029.857143
West,12/17/2023,1317764299,1455560204.2857144
West,12/18/2023,1533745904,1488554347.142857
West,12/19/2023,1622154574,1567480458.5714285
West,12/20/2023,1710563243,1692338538.2857144
