Site Name,Sample Collection Date,Concentration,7dra_not_centered
West,08/26/2023,419060090,
West,08/27/2023,426579450,
West,08/28/2023,434098810,
West,08/29/2023,462994715,
West,08/30/2023,491890621,
West,08/31/2023,520786526,
West,09/01/2023,549682431,472156091.85714287
West,09/04/2023,531978141,488287242.0
West,09/05/2023,490796288,497461076.0
West,09/06/2023,449614435,499677593.85714287
West,09/07/2023,408432582,491883003.4285714
West,09/08/2023,367250730,474077304.71428573
West,09/09/2023,326068877,446260497.71428573
West,09/10/2023,374639053,421254300.85714287
West,09/11/2023,472424587,412746650.28571427
West,09/12/2023,520876174,417043776.85714287
West,09/13/2023,569327761,434145680.5714286
West,09/14/2023,617779348,464052361.4285714
West,09/15/2023,666230936,506763819.4285714
West,09/16/2023,714682523,562280054.5714285
West,09/17/2023,678216513,605648263.1428572
West,09/20/2023,611988279,625585933.4285715
West,09/21/2023,597107167,636476075.2857143
West,09/22/2023,582226056,638318688.8571428
West,09/23/2023,567344944,631113774.0
West,09/24/2023,671452777,631859751.2857143
West,09/25/2023,775560611,640556621.0
West,09/26/2023,778138719,654831221.8571428
West,09/27/2023,780716827,678935300.1428572
West,09/28/2023,783294936,705533552.8571428
West,09/29/2023,785873044,734625979.7142857
West,09/30/2023,788451152,766212580.8571428
West,10/01/2023,651121299,763308084.0
West,10/02/2023,513791446,725912489.0
West,10/03/2023,561883101,695018829.2857143
West,10/04/2023,609974756,670627104.8571428
West,10/05/2023,658066411,652737315.5714285
West,10/06/2023,706158066,641349461.5714285
West,10/07/2023,754249721,636463542.8571428
West,10/08/2023,779237439,654765848.5714285
West,10/09/2023,804225157,696256378.7142857
West,10/10/2023,1259893530,795972154.2857143
West,10/11/2023,1715561902,953913175.1428572
West,10/12/2023,2171230274,1170079441.2857144
West,10/13/2023,2626898647,1444470952.857143
West,10/14/2023,3082567019,1777087709.7142856
West,10/15/2023,3172409984,2118969501.857143
West,10/16/2023,3262252949,2470116329.285714
West,10/17/2023,2857239019,2698308542.0
West,10/18/2023,2410507209,2797586443.0
West,10/19/2023,1963775399,2767950032.285714
West,10/20/2023,1517043588,2609399309.571429
West,10/21/2023,1070311778,2321934275.142857
West,10/22/2023,1029596392,2015818047.7142856
West,10/23/2023,988881007,1691050627.4285715
West,10/24/2023,932130807,1416035168.5714285
West,10/25/2023,917098489,1202691065.7142856
West,10/26/2023,902066170,1051018318.7142857
West,10/27/2023,887033852,961016927.8571428
West,10/28/2023,872001533,932686892.8571428
West,10/29/2023,862937604,908878494.5714285
West,10/30/2023,853873675,889591732.8571428
West,10/31/2023,916897890,887415601.8571428
West,11/01/2023,979922104,896390404.0
West,11/02/2023,1042946319,916516139.5714285
West,11/03/2023,1105970533,947792808.2857143
West,11/04/2023,1168994748,990220410.4285715
West,11/09/2023,1186368462,1036424818.7142857
West,11/10/2023,1165729568,1080975660.5714285
West,11/11/2023,1145090674,1113574629.7142856
West,11/12/2023,1372773552,1169696265.142857
West,11/13/2023,1600456430,1249340566.7142856
West,11/16/2023,1497489365,1305271828.4285715
West,11/17/2023,1463167010,1347296437.2857144
West,11/18/2023,1428844655,1381935893.4285715
West,11/19/2023,1193511560,1385904749.4285715
West,11/20/2023,958178466,1359203005.4285715
West,11/21/2023,989081367,1304389836.142857
West,11/22/2023,1019984269,1221465241.7142856
West,11/23/2023,1050887170,1157664928.142857
West,11/24/2023,1081790072,1103182508.4285715
West,11/25/2023,1112692974,1058017982.5714285
West,11/26/2023,1073685863,1040900025.8571428
West,11/27/2023,1034678753,1051828638.2857143
West,11/28/2023,2189097507,1223259515.4285715
West,11/29/2023,3343516260,1555192657.0
West,11/30/2023,4497935014,2047628063.2857144
West,12/01/2023,5652353767,2700565734.0
West,12/02/2023,6806772521,3514005669.285714
West,12/03/2023,6800086353,4332062882.142858
West,12/04/2023,6793400185,5154737372.428572
West,12/05/2023,5898558920,5684660431.428572
West,12/06/2023,5003717656,5921832059.428572
West,12/07/2023,4108876391,5866252256.142858
West,12/08/2023,3214035126,5517921021.714286
West,12/09/2023,2319193861,4876838356.0
West,12/10/2023,2293276051,4233008312.857143
West,12/11/2023,2267358242,3586430892.428571
West,12/12/2023,2034243132,3034385779.857143
West,12/13/2023,1801128022,2576872975.0
West,12/14/2023,1568012913,2213892478.142857
West,12/15/2023,1334897803,1945444289.142857
West,12/16/2023,1101782694,1771528408.142857
West,12/17/2023,1317764299,1632169586.4285715
West,12/18/2023,1533745904,1527367823.857143
