Site Name,Sample Collection Date,Concentration,7dra_not_centered
Brightwater,08/28/2023,868635094,
Brightwater,08/29/2023,1061731503,
Brightwater,08/30/2023,1222077310,
Brightwater,08/31/2023,1382423118,
Brightwater,09/01/2023,1542768926,
Brightwater,09/02/2023,1703114733,
Brightwater,09/03/2023,1863460541,1377744460.7142856
Brightwater,09/04/2023,1807155045,1511818739.4285715
Brightwater,09/05/2023,1750849550,1610264174.7142856
Brightwater,09/06/2023,1605930045,1665100279.7142856
Brightwater,09/07/2023,1461010539,1676327054.142857
Brightwater,09/08/2023,1316091034,1643944498.142857
Brightwater,09/09/2023,1171171528,1567952611.7142856
Brightwater,09/10/2023,1026252023,1448351394.857143
Brightwater,09/11/2023,848062895,1311338230.5714285
Brightwater,09/12/2023,669873768,1156913118.857143
Brightwater,09/13/2023,940293816,1061822229.0
Brightwater,09/14/2023,1210713865,1026065561.2857143
Brightwater,09/15/2023,1481133913,1049643115.4285715
Brightwater,09/16/2023,1751553962,1132554891.7142856
Brightwater,09/17/2023,2021974010,1274800889.857143
Brightwater,09/18/2023,2064451328,1448570666.0
Brightwater,09/19/2023,2106928646,1653864220.0
Brightwater,09/20/2023,1892866199,1789945989.0
Brightwater,09/21/2023,1678803751,1856815972.7142856
Brightwater,09/22/2023,1464741304,1854474171.4285715
Brightwater,09/23/2023,1250678857,1782920585.0
Brightwater,09/24/2023,1036616409,1642155213.4285715
Brightwater,09/25/2023,1134454341,1509298501.0
Brightwater,09/26/2023,1232292273,1384350447.7142856
Brightwater,09/27/2023,1199661336,1285321181.5714285
Brightwater,09/28/2023,1167030398,1212210702.5714285
Brightwater,09/29/2023,1134399460,1165019010.5714285
Brightwater,09/30/2023,1101768523,1143746105.7142856
Brightwater,10/01/2023,1069137585,1148391988.0
Brightwater,10/02/2023,961469241,1123679830.857143
Brightwater,10/03/2023,853800896,1069609634.1428572
Brightwater,10/04/2023,992498315,1040014916.8571428
Brightwater,10/05/2023,1131195733,1034895679.0
Brightwater,10/06/2023,1269893152,1054251920.7142857
Brightwater,10/07/2023,1408590570,1098083641.7142856
Brightwater,10/08/2023,1547287989,1166390842.2857144
Brightwater,10/09/2023,1710334788,1273371634.7142856
Brightwater,10/10/2023,1873381586,1419026019.0
Brightwater,10/11/2023,1824292845,1537853809.0
Brightwater,10/12/2023,1775204104,1629855004.857143
Brightwater,10/13/2023,1726115362,1695029606.2857144
Brightwater,10/14/2023,1677026621,1733377613.5714285
Brightwater,10/15/2023,1627937880,1744899026.5714285
Brightwater,10/16/2023,1485421126,1712768503.4285715
Brightwater,10/17/2023,1342904372,1636986044.2857144
Brightwater,10/18/2023,1277622816,1558890325.857143
Brightwater,10/19/2023,1212341261,1478481348.2857144
Brightwater,10/20/2023,1147059705,1395759111.5714285
Brightwater,10/21/2023,1081778149,1310723615.5714285
Brightwater,10/22/2023,1016496593,1223374860.2857144
Brightwater,10/23/2023,1019732683,1156847939.857143
Brightwater,10/24/2023,1022968772,1111142854.142857
Brightwater,10/25/2023,991178058,1070222174.4285715
Brightwater,10/26/2023,959387344,1034085900.5714285
Brightwater,10/27/2023,927596630,1002734032.7142857
Brightwater,10/28/2023,895805916,976166570.8571428
Brightwater,10/29/2023,864015202,954383515.0
Brightwater,10/30/2023,895968465,936702912.4285715
Brightwater,10/31/2023,927921729,923124763.4285715
Brightwater,11/01/2023,1557431126,1004018058.8571428
Brightwater,11/02/2023,2186940522,1179382798.5714285
Brightwater,11/03/2023,2816449918,1449218982.5714285
Brightwater,11/04/2023,3445959315,1813526611.0
Brightwater,11/05/2023,4075468711,2272305683.714286
Brightwater,11/06/2023,4115725749,2732271010.0
Brightwater,11/07/2023,4155982788,3193422589.857143
Brightwater,11/08/2023,3633197559,3489960651.714286
Brightwater,11/09/2023,3110412331,3621885195.857143
Brightwater,11/10/2023,2587627103,3589196222.285714
Brightwater,11/11/2023,2064841874,3391893730.714286
Brightwater,11/12/2023,1542056646,3029977721.428571
